204,910,69,25,4,1,0,4,3
796,966,83,11,4,0,0,5,3
1,1571,84,10,1,0,0,5,1
101,573,40,42,13,0,0,4,2
198,1384,85,14,1,0,0,4,3
93,368,52,34,10,3,1,4,2
66,300,34,52,11,0,0,3,1
229,511,72,23,1,0,0,4,3
66,723,31,48,15,3,0,3,1
191,4525,39,42,13,4,0,4,3
158,1775,43,44,10,2,1,4,3
86,139,70,24,1,0,0,3,2
75,297,67,25,2,1,0,0,1
302,1169,55,25,11,6,3,4,3
169,824,38,12,7,5,0,4,3
104,991,30,46,12,0,0,3,2
94,1172,46,45,7,1,0,3,2
134,396,38,39,13,6,4,1,3
170,685,44,45,6,3,2,4,3
71,180,53,37,8,1,0,3,1
143,901,43,23,16,10,8,4,3
145,375,79,17,2,1,0,4,3
126,1661,61,31,6,0,0,3,3
170,837,62,25,7,4,0,5,3
103,817,50,40,8,1,0,3,2
145,1223,55,37,6,1,0,3,3
85,2463,72,23,1,0,0,3,2
77,864,29,50,14,3,0,3,1
113,2599,74,20,1,0,0,4,2
108,261,39,46,10,3,2,0,2
144,257,37,40,17,4,2,4,3
437,441,90,6,2,1,0,5,3
455,966,83,11,4,0,0,5,3
116,477,56,35,1,2,0,4,2
109,1111,47,38,10,3,2,4,2
81,505,65,28,4,2,1,2,2
150,1412,70,24,1,0,0,4,3
75,348,35,49,14,1,0,3,1
78,597,40,45,12,1,0,3,1
117,306,37,45,12,4,0,3,2
134,365,45,42,8,3,0,3,3
106,562,46,44,7,2,1,3,2
104,441,38,40,16,4,2,3,2
247,4111,39,34,15,7,0,4,3
80,795,68,26,4,1,0,3,2
130,1266,35,46,13,4,2,3,3
123,873,34,49,12,1,0,4,3
74,481,51,41,5,2,0,2,1
104,1517,50,39,8,2,1,3,2
190,1959,79,17,2,1,0,4,3
85,701,69,26,3,1,0,3,2
124,1314,68,25,1,0,0,3,3
142,65,55,38,2,0,0,3,3
104,723,26,54,13,0,0,3,2
117,558,37,45,14,2,0,3,2
198,499,83,14,2,1,0,4,3
135,549,75,20,3,1,0,4,3
85,216,57,33,2,1,0,2,2
85,355,66,26,5,2,1,3,2
75,434,32,54,9,3,0,2,1
73,611,43,45,9,2,1,2,1
99,1372,69,25,4,1,0,3,2
1,1897,88,2,1,0,0,5,1
101,573,40,42,13,0,0,4,2
198,1384,85,14,1,0,0,4,3
93,368,52,34,10,3,1,4,2
69,300,34,52,11,0,0,3,1
229,511,72,23,1,0,0,4,3
66,723,31,48,15,3,0,3,1
191,4525,39,42,13,4,0,4,3
158,1775,43,44,10,2,1,4,3
86,139,70,24,1,0,0,3,2
75,297,67,25,2,1,0,0,1
302,1169,55,25,11,6,3,4,3
169,824,38,12,7,5,0,4,3
104,991,30,46,12,0,0,3,2
94,1172,46,45,7,1,0,3,2
134,396,38,39,13,6,4,1,3
170,685,44,45,6,3,2,4,3
71,180,53,37,8,1,0,3,1
143,901,43,23,16,10,8,4,3
145,375,79,17,2,1,0,4,3
172,1661,61,31,6,0,0,3,3
170,837,62,25,7,4,0,5,3
103,817,50,40,8,1,0,3,2
145,1223,55,37,6,1,0,3,3
85,2463,72,23,1,0,0,3,2
69,864,29,50,14,3,0,3,1
113,2599,74,20,1,0,0,4,2
108,261,39,46,10,3,2,0,2
144,257,37,40,17,4,2,4,3
437,441,90,6,2,1,0,5,3
455,966,83,11,4,0,0,5,3
101,573,40,42,13,0,0,4,2
198,1384,85,14,1,0,0,4,3
93,368,52,34,10,3,1,4,2
66,300,34,52,11,0,0,3,1
229,511,72,23,1,0,0,4,3
66,723,31,48,15,3,0,3,1
191,4525,39,42,13,4,0,4,3
170,1775,43,44,10,2,1,4,3
86,139,70,24,1,0,0,3,2
75,297,67,25,2,1,0,0,1
302,1169,55,25,11,6,3,4,3
169,824,38,12,7,5,0,4,3
107,991,30,46,12,0,0,3,2
94,1172,46,45,7,1,0,3,2
155,396,38,39,13,6,4,1,3
176,685,44,45,6,3,2,4,3
71,180,53,37,8,1,0,3,1
143,901,43,23,16,10,8,4,3
175,375,79,17,2,1,0,4,3
126,1661,61,31,6,0,0,3,3
170,837,62,25,7,4,0,5,3
103,817,50,40,8,1,0,3,2
145,1223,55,37,6,1,0,3,3
85,2463,72,23,1,0,0,3,2
69,864,29,50,14,3,0,3,1
113,2599,74,20,1,0,0,4,2
108,261,39,46,10,3,2,0,2
144,257,37,40,17,4,2,4,3
437,441,90,6,2,1,0,5,3
455,966,83,11,4,0,0,5,3
119,384,80,16,2,1,0,4,2
145,1223,55,37,6,1,0,3,3
194,428,80,14,1,0,0,4,3
143,1996,64,29,5,1,0,4,3
101,573,40,42,13,0,0,4,2
160,1790,78,18,2,1,0,4,3
133,1134,57,34,6,2,1,4,3
158,1775,43,44,10,2,1,4,3
320,965,78,15,1,0,0,5,3
156,1533,70,24,1,0,0,4,3
167,383,73,22,1,0,0,4,3
